environment,episodes,with_duration,no_duration,total_minutes,total_hours,share_pct
semiconductor_cleanroom_bengaluru_3144,96,96,0,288.00,4.8000,0.440
semiconductor_cleanroom_bengaluru_4025,96,96,0,286.35,4.7725,0.438
semiconductor_cleanroom_bengaluru_1769,96,96,0,286.35,4.7725,0.438
electronics_assembly_line_bengaluru_9605,95,95,0,284.32,4.7386,0.435
electronics_assembly_line_bengaluru_2501,94,94,0,280.28,4.6714,0.429
electronics_assembly_line_bengaluru_2783,92,92,0,275.18,4.5864,0.421
electronics_assembly_line_bengaluru_9598,90,90,0,269.38,4.4897,0.412
furniture_workshop_ahemdabad_9943,88,88,0,262.95,4.3825,0.402
semiconductor_cleanroom_bengaluru_6738,86,86,0,258.00,4.3000,0.395
metal_factory_karnataka_0001_l1_b01,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l1_b02,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l1_b03,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l1_b07,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l2_b02,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l2_b03,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l2_b04,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l2_b05,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l2_b06,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l2_b07,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l2_b08,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l3_b03,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l3_b04,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l3_b05,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l3_b06,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l3_b07,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l3_b08,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l4_b03,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l4_b06,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l4_b07,85,85,0,255.00,4.2500,0.390
metal_factory_karnataka_0001_l1_b04,85,85,0,254.95,4.2492,0.390
metal_factory_karnataka_0001_l1_b06,85,85,0,254.78,4.2464,0.390
metal_factory_karnataka_0001_l4_b04,85,85,0,253.48,4.2247,0.388
metal_factory_karnataka_0001_l4_b02,85,85,0,253.28,4.2214,0.387
metal_factory_karnataka_0001_l2_b01,85,85,0,253.25,4.2208,0.387
metal_factory_karnataka_0001_l4_b05,85,85,0,253.18,4.2197,0.387
metal_factory_karnataka_0001_l4_b01,85,85,0,252.55,4.2092,0.386
metal_factory_karnataka_0001_l1_b08,85,85,0,252.50,4.2084,0.386
metal_factory_karnataka_0001_l3_b02,85,85,0,252.38,4.2064,0.386
metal_factory_karnataka_0001_l1_b05,85,85,0,252.28,4.2047,0.386
semiconductor_cleanroom_bengaluru_5843,84,84,0,252.00,4.2000,0.385
metal_factory_karnataka_0001_l3_b01,85,85,0,251.30,4.1883,0.384
metal_factory_karnataka_0001_l4_b08,85,85,0,250.27,4.1711,0.383
metal_factory_karnataka_0001_l5_b01,83,83,0,248.65,4.1442,0.380
electronics_assembly_line_bengaluru_4592,82,82,0,244.18,4.0697,0.373
metal_factory_karnataka_0001_l5_b02,80,80,0,240.00,4.0000,0.367
metal_factory_karnataka_0001_l5_b03,80,80,0,240.00,4.0000,0.367
metal_factory_karnataka_0001_l5_b07,80,80,0,240.00,4.0000,0.367
metal_factory_karnataka_0001_l5_b08,80,80,0,240.00,4.0000,0.367
metal_factory_karnataka_0001_l6_b01,80,80,0,240.00,4.0000,0.367
metal_factory_karnataka_0001_l6_b03,80,80,0,240.00,4.0000,0.367
metal_factory_karnataka_0001_l6_b04,80,80,0,240.00,4.0000,0.367
metal_factory_karnataka_0001_l6_b07,80,80,0,240.00,4.0000,0.367
metal_factory_karnataka_0001_l6_b08,80,80,0,240.00,4.0000,0.367
loom_weaving_floor_bengaluru_8705_l1_b02,80,80,0,240.00,4.0000,0.367
electronics_assembly_line_bengaluru_2593,80,80,0,239.59,3.9931,0.366
metal_factory_karnataka_0001_l5_b06,80,80,0,239.48,3.9914,0.366
metal_factory_karnataka_0001_l6_b06,80,80,0,239.38,3.9897,0.366
metal_factory_karnataka_0001_l6_b02,80,80,0,239.15,3.9858,0.366
loom_weaving_floor_bengaluru_8705_l1_b03,80,80,0,239.03,3.9838,0.366
metal_factory_karnataka_0001_l6_b05,80,80,0,238.99,3.9831,0.366
metal_factory_karnataka_0001_l5_b04,80,80,0,238.76,3.9794,0.365
metal_factory_karnataka_0001_l5_b05,80,80,0,237.62,3.9603,0.363
loom_weaving_floor_bengaluru_8705_l1_b01,79,79,0,232.07,3.8678,0.355
semiconductor_cleanroom_bengaluru_5154,77,77,0,231.00,3.8500,0.353
furniture_workshop_ahemdabad_6498,75,75,0,225.00,3.7500,0.344
electronics_assembly_line_bengaluru_4056,71,71,0,211.95,3.5325,0.324
loom_weaving_floor_bengaluru_8705_l1_b04,70,70,0,210.00,3.5000,0.321
loom_weaving_floor_bengaluru_2793_l1_b01,70,70,0,210.00,3.5000,0.321
loom_weaving_floor_bengaluru_2793_l1_b02,70,70,0,210.00,3.5000,0.321
loom_weaving_floor_bengaluru_8705_l2_b02,70,70,0,209.50,3.4916,0.320
electronics_assembly_line_bengaluru_8331,70,70,0,207.45,3.4575,0.317
loom_weaving_floor_bengaluru_8705_l2_b01,69,69,0,207.00,3.4500,0.317
loom_weaving_floor_bengaluru_8705_l2_b04,70,70,0,205.16,3.4194,0.314
loom_weaving_floor_bengaluru_8705_l2_b03,68,68,0,204.00,3.4000,0.312
loom_weaving_floor_bengaluru_9314_l1_b01,68,68,0,201.37,3.3562,0.308
loom_weaving_floor_bengaluru_2793_l2_b01,66,66,0,195.64,3.2606,0.299
loom_weaving_floor_bengaluru_2793_l1_b03,70,70,0,191.06,3.1844,0.292
semiconductor_cleanroom_bengaluru_6163,63,63,0,189.00,3.1500,0.289
loom_weaving_floor_bengaluru_2793_l2_b03,60,60,0,180.00,3.0000,0.275
loom_weaving_floor_bengaluru_9314_l1_b02,60,60,0,180.00,3.0000,0.275
loom_weaving_floor_bengaluru_9314_l1_b03,60,60,0,180.00,3.0000,0.275
loom_weaving_floor_bengaluru_9314_l2_b02,60,60,0,180.00,3.0000,0.275
loom_weaving_floor_bengaluru_9314_l2_b03,60,60,0,180.00,3.0000,0.275
loom_weaving_floor_bengaluru_9314_l2_b01,60,60,0,178.10,2.9684,0.272
loom_weaving_floor_bengaluru_2793_l2_b02,60,60,0,176.70,2.9450,0.270
semiconductor_cleanroom_bengaluru_2275,55,55,0,162.62,2.7103,0.249
semiconductor_cleanroom_bengaluru_2512,49,49,0,144.35,2.4058,0.221
electronics_assembly_line_bengaluru_8525,44,44,0,125.62,2.0936,0.192
furniture_workshop_ahemdabad_3244,37,37,0,108.92,1.8153,0.167
furniture_workshop_ahemdabad_9167,37,37,0,108.05,1.8008,0.165
furniture_workshop_ahemdabad_8986,33,33,0,96.17,1.6028,0.147
semiconductor_cleanroom_bengaluru_1573,32,32,0,95.21,1.5869,0.146
furniture_workshop_ahemdabad_2351,26,26,0,76.18,1.2697,0.117
electronics_assembly_line_bengaluru_9098,19,19,0,56.05,0.9342,0.086
semiconductor_cleanroom_bengaluru_7185,18,18,0,54.00,0.9000,0.083
